game,review
나무 블록 퍼즐 - 클래식 블록 퍼즐 게임,블록이 뒤로 갈수록 맞지 않는것만 연달아 나와서 신기록을 달성하기 힘들어요. 게임 자체는 재미있는데 광고가 너무 선정적인게 나오고 좀비같은 잔혹한 광고가 자주 나와서 불편하네요. 광고 보는거 어느정도 감안하고 게임을 하는 편인데도 좀비광고가 노출게임 광고 같은건 눈살 찌푸려지네요. 아이한테도 게임 깔아줬는데 광고 때문에 지워야 할거 같아요..
나무 블록 퍼즐 - 클래식 블록 퍼즐 게임,광고가 이렇게 많이 나오고 스킵도 몇분걸리는게임은 처음보네요. 회전 아이템아니면 일정한 블럭만 나오니 게임 일주일만에 지루하네요. 회전 아이템을 유료하거나 퀘스트로얻는건 좋으나 블럭을 다양하게 만들어서 좀더 테트리스 블록을 지울수있는 게임이 되었으면 좋겠네요. 이런 블럭게임 너무 좋아하는데 개인적으로는 미스가 많은게임이네요. 어느정도 블록을 지울수있어야 많은 유저들이 게임을 하지 않을까요?
나무 블록 퍼즐 - 클래식 블록 퍼즐 게임,여러분들 사진에 속지 마셈. 레벨에 따라 미션 클리어 할 수 있는 모드가 없고 오로지 기록 갱신만 요구하는 하는 게임. 벽돌 규격도 사진이랑 완전 다름. 내가 아무리해도 신기록을 세울 수가 없는 이유는 뒤로 갈수록 규격에 맞지 않는 벽돌만 떠넘겨줌. 꼭 신기록에 도달하기 전에 이동불가라고 하면서 항상 거기서 죽음. 이쯤되면 승부조작 이라고 해석해도 이상할게 없는 게임.
나무 블록 퍼즐 - 클래식 블록 퍼즐 게임,아무리 중간에 끝을내고 해야 광고도 틀고 할수 있으니 그러려니 이해하려해도 블록의 조합이 뒤로 갈수록 너무 극혐이네요 초반엔 줄세우기 좋은 블록만 퍼주다가 어느 정도 시간이 지나면 빨리 끝내라고 이상한 블록만 계속 줘서 뭘 어찌해도 이어 나가기가 너무 힘드네요 이만큼 했으니 이제 끝내고 광고보고 다시 시작해 하는 작위적인 레벨 디자인이 너무 심하게 보임
나무 블록 퍼즐 - 클래식 블록 퍼즐 게임,게임시작하고 언제까지 갈수있나 해봤더니 한번 죽고나면 회전이 가능해지는 아이템이 나옵니다. 그런 기능이 제공됬으면 더 높은 점수를 얻었을텐데... 미묘하게 머리써가면서 시간 잠깐 보낼때 하기 좋은것같습니드.
나무 블록 퍼즐 - 클래식 블록 퍼즐 게임,"게임 자체는 괜찮아요. 근데 최근에 업데이트된 '아래로 블록내리기' 아이템때문에 정떨어져 삭제합니다. 그동안 열심히 점수 갱신하며 했는데 아무 의미없게되었네요. 돈때문에 아이템, 광고가 중요한걸알지만 이번 아이템은 너무 김빠지게하네요."
나무 블록 퍼즐 - 클래식 블록 퍼즐 게임,"게임 한두 블록 맞추면, 엄청난 광고를 봐야하는 인내를 가진사람만이 할수 있는게임.. 난 성질나서 지웠음."
나무 블록 퍼즐 - 클래식 블록 퍼즐 게임,블럭게임에 광고가 좀 많긴 하지만 잘 하고 있습니다. 열쇠를 모으게 되는데 그 열쇠는 어떻게 사용하는 건가요? 이것저것 아무리 눌러봐도 용도를 모르겠네요
나무 블록 퍼즐 - 클래식 블록 퍼즐 게임,플레이어가 없고 사욫자를 허수아비로 만들어 환경설정/플레이/ 기능이 없으니 시작이 않되네요 시작이 않되니 어찌 된요
나무 블록 퍼즐 - 클래식 블록 퍼즐 게임,광고제거를 샀는데 코인 얻을때 보는 광고도 제거가 되어야 하지 않나요?.. 이러면 광고 제거하는게 의미가 있는지 모르겠네요. 정말 최악입니다.
나무 블록 퍼즐 - 클래식 블록 퍼즐 게임,두뇌쓰기에너무좋고 아주좋습니다^^ 어플만들어줘서너무고맙습니다 두뇌써야되는분들이게임하세요 강추입니다.(강력한추천!)
나무 블록 퍼즐 - 클래식 블록 퍼즐 게임,멍때리고하기좋은데. 광고없애려고 결제했는데도 이벤트게임하라고 팝업이계속떠서 짜증남
나무 블록 퍼즐 - 클래식 블록 퍼즐 게임,순위 바로바로 나와서 좋은데 너무 단순한 블록만 나와서 지루한 와중에 집중력 떨어져서 죽음 ㅠ
나무 블록 퍼즐 - 클래식 블록 퍼즐 게임,별 1개 달려고 설치했다. 광고 오지게 때리는데 더럽게 기네. 얼마나 재미없으면 그럴까.
나무 블록 퍼즐 - 클래식 블록 퍼즐 게임,재밌어요! 블록을 하나하나 맞추면서 기분이 좋아요! 그럼저는 게임하러 이만..ი⁽͑˙˚̀༡̇˚́˙⁾̉ჟ ˒˒⁼³
